Data i godzina;HRID;Numer seryjny;5V - Wynik;5V - Min napiecie [V];5V - Max napiecie [V];9V - Wynik;9V - Min napiecie [V];9V - Max napiecie [V];12V - Wynik;12V - Min napiecie [V];12V - Max napiecie [V];15V - Wynik;15V - Min napiecie [V];15V - Max napiecie [V];Wynik koncowy;Czas testu [s]
2025-10-31 15:58:52;TEST;SSW-3503UK 236A606543;PASS;4,87;4,94;PASS;8,75;8,78;PASS;11,72;11,76;PASS;14,80;14,88;PASS;38,58
2025-11-04 14:47:38;12101333;SSW-3503UK 236A606543;PASS;4,92;4,96;PASS;8,75;8,79;PASS;11,74;11,79;PASS;14,86;14,88;PASS;38,31
2025-11-04 14:48:29;12101333;SSW-3503UK 236A606543;PASS;4,93;4,97;PASS;8,76;8,78;PASS;11,74;11,80;PASS;14,85;14,89;PASS;39,38
2025-11-04 15:58:09;TEST;SSW-3503UK 236A606543;PASS;4,92;4,97;PASS;8,75;8,81;PASS;11,77;11,80;PASS;14,87;14,90;PASS;39,28
2025-11-05 09:32:19;12101333;SSW-3503UK 236A606543;PASS;4,91;4,95;PASS;8,76;8,80;PASS;11,74;11,78;PASS;14,85;14,88;PASS;39,05
2025-11-05 09:33:25;12101333;SSW-3503UK 236A606543;PASS;4,93;5,01;PASS;8,77;8,82;PASS;11,79;11,81;PASS;14,85;14,88;PASS;39,13
2025-11-05 09:34:32;12101333;SSW-3503UK 236A606543;PASS;4,94;5,01;PASS;8,79;8,83;PASS;11,77;11,80;PASS;14,85;14,88;PASS;38,98
2025-11-05 09:40:39;TEST;SSW-3503UK 236A606543;PASS;4,97;5,02;PASS;8,78;8,83;PASS;11,77;11,82;PASS;14,87;14,90;PASS;39,37
2025-11-05 09:41:32;TEST;SSW-3503UK 236A606543;PASS;4,98;5,01;PASS;8,79;8,83;PASS;11,78;11,82;PASS;14,85;14,90;PASS;39,11
2025-11-05 10:00:22;TEST;SSW-3503UK 236A606542;PASS;4,91;4,93;PASS;8,74;8,78;PASS;11,76;11,79;PASS;14,84;14,88;PASS;38,90
2025-11-05 10:01:09;TEST;SSW-3503UK 236A606541;PASS;4,95;5,00;PASS;8,81;8,82;PASS;11,77;11,80;PASS;14,87;14,88;PASS;39,33
2025-11-13 15:00:16;12101333;SSW-3503UK 239C608046;PASS;4,95;5,01;PASS;8,79;8,83;PASS;11,77;11,82;PASS;14,87;14,91;PASS;37,75
2025-11-17 12:02:19;12101333;SSW-3503UK 239C608046;PASS;4,86;4,93;PASS;8,73;8,77;PASS;11,74;11,79;PASS;14,84;14,87;PASS;38,62
2025-11-17 12:08:30;12101333;SSW-3503UK 239C608046;PASS;4,93;4,99;PASS;8,79;8,82;PASS;11,76;11,80;PASS;14,85;14,88;PASS;37,42
